Using device: cuda
Epoch 1/200, Loss: 0.4278433322906494, Acc: 0.07972605845757894, MSE: 1.0059813175882613, MAE: 0.8031777313777378
Epoch 37/200, Loss: 0.011116236581334047, Acc: 0.5205908588000706, MSE: 0.0222324723643916, MAE: 0.11624415751014437
Epoch 38/200, Loss: 0.009806411207786627, Acc: 0.5551980819020953, MSE: 0.019612822149481093, MAE: 0.10868661212069648
Epoch 39/200, Loss: 0.0089695043861866, Acc: 0.5690352746418544, MSE: 0.017939009304557527, MAE: 0.10404223416532789
Epoch 40/200, Loss: 0.008480807167610951, Acc: 0.582188640322004, MSE: 0.016961614335221902, MAE: 0.10124548950365611
Epoch 41/200, Loss: 0.0078078229645533225, Acc: 0.6085661905152457, MSE: 0.015615645396922315, MAE: 0.0965757668018341
Epoch 42/200, Loss: 0.0077873350653265205, Acc: 0.5988709841455732, MSE: 0.015574669332376547, MAE: 0.09727393410035542
Epoch 43/200, Loss: 0.008064518815704755, Acc: 0.5958661692483085, MSE: 0.016129037498363426, MAE: 0.09842312548841749
Epoch 44/200, Loss: 0.008806695030736071, Acc: 0.572303661278316, MSE: 0.017613389928426062, MAE: 0.10329974229846682
Epoch 45/200, Loss: 0.009658491771136011, Acc: 0.5668121661458697, MSE: 0.019316983542272022, MAE: 0.10688283720186778
Epoch 46/200, Loss: 0.010405151705656732, Acc: 0.5305993386677333, MSE: 0.020810304475682124, MAE: 0.11298284041030067
Epoch 47/200, Loss: 0.011895725370517798, Acc: 0.5015905116285596, MSE: 0.02379145020885127, MAE: 0.120515518954822
Epoch 48/200, Loss: 0.01276734990200826, Acc: 0.4979621597698757, MSE: 0.025534699271832193, MAE: 0.12408546145473208
Epoch 49/200, Loss: 0.011649858273033584, Acc: 0.512796414749963, MSE: 0.02329971588083676, MAE: 0.11859316165958132
Epoch 50/200, Loss: 0.01064623546387468, Acc: 0.5216843272958483, MSE: 0.0212924706616572, MAE: 0.11461668355124337
Epoch 51/200, Loss: 0.012100245936640672, Acc: 0.4746948480606079, MSE: 0.024200493203742162, MAE: 0.12454557312386376
Epoch 52/200, Loss: 0.013311397949499744, Acc: 0.4515058696269989, MSE: 0.026622795233769075, MAE: 0.13089712922062194
Epoch 53/200, Loss: 0.014674175796764237, Acc: 0.4339665302208492, MSE: 0.029348352125712802, MAE: 0.13714115960257395
Epoch 54/200, Loss: 0.01262209378182888, Acc: 0.4774571529456547, MSE: 0.02524418756365776, MAE: 0.1255040541291237
Epoch 55/200, Loss: 0.007711091877094337, Acc: 0.6089984519141061, MSE: 0.015422183355050427, MAE: 0.0961537275995527
Epoch 56/200, Loss: 0.0063156129659286565, Acc: 0.6487492663519723, MSE: 0.012631225931857313, MAE: 0.08762914155210767
Epoch 57/200, Loss: 0.005801874212920666, Acc: 0.6767549940517971, MSE: 0.011603748558887414, MAE: 0.08315176303897585
Epoch 58/200, Loss: 0.005210932676813432, Acc: 0.7076133830206734, MSE: 0.010421865486672946, MAE: 0.0784051524741309
Epoch 59/200, Loss: 0.005263124326510089, Acc: 0.7120490499905178, MSE: 0.010526249052158423, MAE: 0.07815194342817579
Epoch 60/200, Loss: 0.0050527422156717095, Acc: 0.7067051615033831, MSE: 0.010105484697435583, MAE: 0.07784362137317657
Epoch 61/200, Loss: 0.005029673355498484, Acc: 0.714489051273891, MSE: 0.010059346311858721, MAE: 0.07712491282394954
Epoch 62/200, Loss: 0.0047520481582198825, Acc: 0.7288850205285209, MSE: 0.009504096183393682, MAE: 0.07464133415903364
Epoch 63/200, Loss: 0.004750465774642569, Acc: 0.7283533385821751, MSE: 0.009500931682331222, MAE: 0.07463977805205754
Epoch 64/200, Loss: 0.004694543246712003, Acc: 0.7262416907719204, MSE: 0.009389086759516172, MAE: 0.07482427997248513
Epoch 65/200, Loss: 0.004714956706655877, Acc: 0.7253861938204084, MSE: 0.009429913413311754, MAE: 0.07494590750762395
Epoch 66/200, Loss: 0.004448800946452788, Acc: 0.7421573741095406, MSE: 0.008897601626813412, MAE: 0.07252060834850584
Epoch 67/200, Loss: 0.00464546590644334, Acc: 0.7338282636233738, MSE: 0.0092909316798406, MAE: 0.07401690951415471
Epoch 68/200, Loss: 0.004393809175650988, Acc: 0.7415488873209272, MSE: 0.008787618085209812, MAE: 0.07216254195996694
Epoch 69/200, Loss: 0.004679186169856361, Acc: 0.7307903255735125, MSE: 0.009358371741005353, MAE: 0.07436568289995193
Epoch 70/200, Loss: 0.004665761753650648, Acc: 0.7273457135472979, MSE: 0.009331523108163051, MAE: 0.0744912890451295
Epoch 71/200, Loss: 0.004345579837848034, Acc: 0.7408439942768642, MSE: 0.008691159542649984, MAE: 0.0721634104847908
Epoch 72/200, Loss: 0.004269773040765098, Acc: 0.7507937635694232, MSE: 0.008539545881961073, MAE: 0.07097677141427994
Epoch 73/200, Loss: 0.004150361454646502, Acc: 0.7529822247368949, MSE: 0.008300722776246923, MAE: 0.07043480447360448
Epoch 74/200, Loss: 0.0039597856146948674, Acc: 0.7694536788122994, MSE: 0.007919571428958858, MAE: 0.0682515517941543
Epoch 75/200, Loss: 0.004155765254316586, Acc: 0.7551947832107544, MSE: 0.008311530242541007, MAE: 0.07028930953570775
Epoch 76/200, Loss: 0.004223533673211932, Acc: 0.7497725742203849, MSE: 0.008447067146854741, MAE: 0.07078449640955244
Epoch 77/200, Loss: 0.003991913383028337, Acc: 0.7640661256653922, MSE: 0.007983826965625797, MAE: 0.06904793530702591
Epoch 78/200, Loss: 0.004012113104441336, Acc: 0.7656912803649902, MSE: 0.008024226009313549, MAE: 0.06908657667892319
Epoch 79/200, Loss: 0.0040087945692773375, Acc: 0.7611516714096069, MSE: 0.008017589271600758, MAE: 0.06910919504506248
Epoch 80/200, Loss: 0.004009285775412407, Acc: 0.7620568871498108, MSE: 0.008018571218209607, MAE: 0.06905857686485563
Epoch 81/200, Loss: 0.0040461547406656405, Acc: 0.7643281902585711, MSE: 0.008092309481331281, MAE: 0.06898316155586924
Epoch 82/200, Loss: 0.004184421218399491, Acc: 0.7527141145297459, MSE: 0.008368842037660735, MAE: 0.07055382749864034
Epoch 83/200, Loss: 0.0042995059796209845, Acc: 0.7460176944732666, MSE: 0.008599012092288052, MAE: 0.07179187131779534
Epoch 84/200, Loss: 0.0041294962367308995, Acc: 0.7543889880180359, MSE: 0.008258992074323552, MAE: 0.07013805104153496
Epoch 85/200, Loss: 0.003980749186926654, Acc: 0.7613595298358372, MSE: 0.007961498440376349, MAE: 0.06905622354575566
Epoch 86/200, Loss: 0.003850521386734077, Acc: 0.7697052189282009, MSE: 0.007701042706945113, MAE: 0.06804101860948972
Epoch 87/200, Loss: 0.0038751970777021988, Acc: 0.7725292869976589, MSE: 0.0077503941554043975, MAE: 0.06758555663483483
Epoch 88/200, Loss: 0.003737907424303038, Acc: 0.7760823283876691, MSE: 0.007475814449467829, MAE: 0.06678028245057378
Epoch 89/200, Loss: 0.003503808019948857, Acc: 0.7924167343548366, MSE: 0.0070076158403285915, MAE: 0.06427246012857982
Epoch 90/200, Loss: 0.0037410156136112554, Acc: 0.7782195806503296, MSE: 0.007482031293745551, MAE: 0.06674619923744883
Epoch 91/200, Loss: 0.0036911177781543563, Acc: 0.7803688985960824, MSE: 0.007382235489785671, MAE: 0.06619048225028175
Epoch 92/200, Loss: 0.003721687477082014, Acc: 0.7781382628849575, MSE: 0.007443374754594905, MAE: 0.06649966378297124
Epoch 93/200, Loss: 0.0036006004083901644, Acc: 0.7871541721480233, MSE: 0.007201200949826411, MAE: 0.06534967358623232
Epoch 94/200, Loss: 0.0036569605581462383, Acc: 0.7877265300069537, MSE: 0.007313920783677271, MAE: 0.06556030522499766
Epoch 95/200, Loss: 0.0034839811601809095, Acc: 0.7916425721985954, MSE: 0.006967962320361819, MAE: 0.06438735180667468
Epoch 96/200, Loss: 0.003497438904430185, Acc: 0.792867090020861, MSE: 0.006994877941906452, MAE: 0.0646773422402995
Epoch 97/200, Loss: 0.0035164792955453906, Acc: 0.7937948959214347, MSE: 0.007032958458044699, MAE: 0.06445733298148427
Epoch 98/200, Loss: 0.0034580183814146687, Acc: 0.7965195519583566, MSE: 0.0069160364967371735, MAE: 0.06400192156434059
Epoch 99/200, Loss: 0.003598763807011502, Acc: 0.7816566739763532, MSE: 0.007197527813592127, MAE: 0.06570755530680929
Epoch 100/200, Loss: 0.0034330348550741163, Acc: 0.7971566660063607, MSE: 0.006866069577102151, MAE: 0.06369610929063388
Epoch 101/200, Loss: 0.003406315509762083, Acc: 0.7970060450690133, MSE: 0.006812630886478084, MAE: 0.06358670709388596
Epoch 102/200, Loss: 0.0034508418092238052, Acc: 0.7958297218595233, MSE: 0.006901683418878487, MAE: 0.06398725403206688
Epoch 103/200, Loss: 0.0034449397519763026, Acc: 0.7963824783052716, MSE: 0.006889879636998687, MAE: 0.06409370792763573
Epoch 104/200, Loss: 0.00357142706135554, Acc: 0.7874328238623483, MSE: 0.00714285418923412, MAE: 0.06522582311715398
Epoch 105/200, Loss: 0.0033480454834976365, Acc: 0.8045112831251962, MSE: 0.006696091033518314, MAE: 0.06269352404134614
Epoch 106/200, Loss: 0.0033751160372048616, Acc: 0.8018739819526672, MSE: 0.006750232140932765, MAE: 0.0631791182926723
Epoch 107/200, Loss: 0.003320003493822047, Acc: 0.8062072140829903, MSE: 0.006640007187213216, MAE: 0.06250712967344693
Epoch 108/200, Loss: 0.003369367914274335, Acc: 0.8002307500158038, MSE: 0.0067387356289795464, MAE: 0.06319970690778323
